date;Value
11.04.2023;21.055
08.04.2023;21.2133
07.04.2023;20.7803
06.04.2023;20.4718
05.04.2023;20.4448
04.04.2023;20.0656
01.04.2023;19.9041
31.03.2023;19.8523
30.03.2023;19.829
29.03.2023;19.726
28.03.2023;19.7066
25.03.2023;19.6995
24.03.2023;19.6501
23.03.2023;19.8254
22.03.2023;19.7856
21.03.2023;19.8832
18.03.2023;19.7292
17.03.2023;19.6612
16.03.2023;19.502
15.03.2023;19.3402
14.03.2023;19.4267
11.03.2023;19.5632
10.03.2023;19.5379
08.03.2023;19.4178
07.03.2023;19.4272
04.03.2023;19.4397
03.03.2023;19.4043
02.03.2023;19.3443
01.03.2023;19.2359
28.02.2023;19.3883
23.02.2023;19.1325
22.02.2023;19.1124
21.02.2023;18.8717
18.02.2023;19.0279
17.02.2023;18.9987
16.02.2023;18.8584
15.02.2023;18.7426
14.02.2023;18.6553
11.02.2023;18.4172
10.02.2023;18.4115
09.02.2023;18.0794
08.02.2023;17.9075
07.02.2023;17.8002
04.02.2023;17.7524
03.02.2023;17.6854
02.02.2023;17.7191
01.02.2023;17.8223
31.01.2023;17.5792
28.01.2023;17.5085
27.01.2023;17.4716
26.01.2023;17.4126
25.01.2023;17.3443
24.01.2023;17.3017
21.01.2023;17.3289
20.01.2023;17.3693
19.01.2023;17.3763
18.01.2023;17.3028
17.01.2023;17.21
14.01.2023;17.0401
13.01.2023;17.1021
12.01.2023;17.4311
11.01.2023;17.6168
10.01.2023;17.8007
31.12.2022;17.8717
30.12.2022;18.2959
29.12.2022;18.1367
28.12.2022;17.7679
27.12.2022;17.3512
24.12.2022;17.4389
23.12.2022;18.304
22.12.2022;17.9013
21.12.2022;17.5256
20.12.2022;16.8271
17.12.2022;16.3792
16.12.2022;16.3094
15.12.2022;16.0757
14.12.2022;16.0002
13.12.2022;15.8692
10.12.2022;15.7807
09.12.2022;15.835
08.12.2022;15.9045
07.12.2022;15.9029
06.12.2022;15.7068
03.12.2022;15.6313
02.12.2022;15.4668
01.12.2022;15.4178
30.11.2022;15.4571
29.11.2022;15.3445
26.11.2022;15.3094
25.11.2022;15.2765
24.11.2022;15.3203
23.11.2022;15.3643
22.11.2022;15.3697
19.11.2022;15.2772
18.11.2022;15.268
17.11.2022;15.2723
16.11.2022;15.2367
15.11.2022;15.2548
12.11.2022;15.2019
11.11.2022;15.4941
10.11.2022;15.4718
09.11.2022;15.3902
08.11.2022;15.4662
04.11.2022;15.7069
03.11.2022;15.5848
02.11.2022;15.5438
01.11.2022;15.585
29.10.2022;15.5574
28.10.2022;15.4673
27.10.2022;15.3808
26.10.2022;15.2983
25.10.2022;15.2022
22.10.2022;15.1847
21.10.2022;15.2387
20.10.2022;15.2456
19.10.2022;15.2746
18.10.2022;15.2831
15.10.2022;15.6102
14.10.2022;15.7193
13.10.2022;15.7917
12.10.2022;15.7626
11.10.2022;15.4125
08.10.2022;15.1393
07.10.2022;14.8605
06.10.2022;14.6424
05.10.2022;14.4632
04.10.2022;14.1712
01.10.2022;13.6321
30.09.2022;14.1436
29.09.2022;14.3242
28.09.2022;14.1954
27.09.2022;14.0413
24.09.2022;13.9574
23.09.2022;14.3125
22.09.2022;14.5646
21.09.2022;14.3606
